period_id,weight,hour_period
8,576.1832,2025-07-12 22:36:32.554552+00:00
8,578.0354,2025-07-12 22:36:39.852858+00:00
8,583.9511,2025-07-12 22:36:47.150067+00:00
8,580.6146,2025-07-12 22:36:54.459866+00:00
8,578.6914,2025-07-12 22:37:01.764854+00:00
8,577.6811,2025-07-12 22:37:09.063602+00:00
8,578.6161,2025-07-12 22:37:16.371926+00:00
8,580.1407,2025-07-12 22:37:23.684367+00:00
8,579.2633,2025-07-12 22:37:30.987384+00:00
8,579.6702,2025-07-12 22:37:38.295324+00:00
8,581.3193,2025-07-12 22:37:45.607450+00:00
8,577.3258,2025-07-12 22:37:52.906894+00:00
8,571.9653,2025-07-12 22:38:00.218611+00:00
8,329.105,2025-07-12 22:38:07.516247+00:00
8,250.9238,2025-07-12 22:38:22.127177+00:00
8,252.5035,2025-07-12 22:38:29.442718+00:00
8,253.6737,2025-07-12 22:38:36.753766+00:00
8,252.5601,2025-07-12 22:38:44.064538+00:00
8,252.1359,2025-07-12 22:38:51.378909+00:00
8,317.0169,2025-07-12 22:38:58.678613+00:00
8,460.5929,2025-07-12 22:39:05.978569+00:00
8,455.5714,2025-07-12 22:39:13.284925+00:00
8,449.5529,2025-07-12 22:39:20.588169+00:00
8,451.0716,2025-07-12 22:39:27.901467+00:00
8,545.6784,2025-07-12 22:39:35.208925+00:00
8,546.4805,2025-07-12 22:39:42.505321+00:00
8,546.0952,2025-07-12 22:39:49.805444+00:00
8,616.847,2025-07-12 22:39:57.120883+00:00
8,543.7237,2025-07-12 22:40:04.428452+00:00
9,250.1798,2025-07-12 22:41:00.371335+00:00
9,251.1906,2025-07-12 22:41:07.679972+00:00
9,252.3278,2025-07-12 22:41:14.995538+00:00
9,251.3101,2025-07-12 22:41:22.305980+00:00
9,248.3457,2025-07-12 22:41:29.620710+00:00
9,247.6577,2025-07-12 22:41:36.927413+00:00
9,256.8035,2025-07-12 22:41:44.227914+00:00
9,447.6741,2025-07-12 22:41:51.514019+00:00
9,450.6346,2025-07-12 22:41:58.804788+00:00
9,449.5716,2025-07-12 22:42:06.096739+00:00
9,449.3536,2025-07-12 22:42:13.383142+00:00
9,450.7394,2025-07-12 22:42:20.686919+00:00
9,451.7669,2025-07-12 22:42:28.000908+00:00
9,451.5337,2025-07-12 22:42:35.300887+00:00
9,491.9751,2025-07-12 22:42:42.607720+00:00
9,488.6711,2025-07-12 22:42:49.914146+00:00
9,487.5958,2025-07-12 22:42:57.227770+00:00
9,485.4212,2025-07-12 22:43:04.541073+00:00
9,485.7593,2025-07-12 22:43:11.842253+00:00
9,490.2655,2025-07-12 22:43:19.146967+00:00
9,493.0937,2025-07-12 22:43:26.456919+00:00
9,589.3525,2025-07-12 22:43:33.765886+00:00
9,588.1178,2025-07-12 22:43:41.072835+00:00
9,587.0715,2025-07-12 22:43:48.379257+00:00
9,588.2905,2025-07-12 22:43:55.688195+00:00
9,588.3318,2025-07-12 22:44:02.996944+00:00
9,587.8579,2025-07-12 22:44:10.289631+00:00
9,589.7461,2025-07-12 22:44:17.580485+00:00
9,587.8924,2025-07-12 22:44:24.879611+00:00
9,588.7043,2025-07-12 22:44:32.169623+00:00
9,697.7791,2025-07-12 22:44:39.467453+00:00
9,792.9991,2025-07-12 22:44:46.761605+00:00
9,800.1489,2025-07-12 22:44:54.055955+00:00
9,797.6702,2025-07-12 22:45:01.350529+00:00
9,797.9211,2025-07-12 22:45:08.661374+00:00
